counts,shots,job_id
"{'0': 508, '1': 516}",1024,350
"{'0': 482, '1': 542}",1024,351
"{'1': 498, '0': 526}",1024,352
"{'0': 539, '1': 485}",1024,353
"{'1': 498, '0': 526}",1024,354
"{'0': 502, '1': 522}",1024,355
"{'0': 498, '1': 526}",1024,356
"{'1': 541, '0': 483}",1024,357
"{'0': 512, '1': 512}",1024,358
"{'1': 535, '0': 489}",1024,359
"{'0': 489, '1': 535}",1024,360
"{'1': 500, '0': 524}",1024,361
"{'0': 522, '1': 502}",1024,362
"{'1': 506, '0': 518}",1024,363
"{'0': 513, '1': 511}",1024,364
"{'1': 510, '0': 514}",1024,365
"{'1': 493, '0': 531}",1024,366
"{'1': 500, '0': 524}",1024,367
"{'0': 506, '1': 518}",1024,368
"{'0': 523, '1': 501}",1024,369
"{'0': 515, '1': 509}",1024,370
"{'1': 527, '0': 497}",1024,371
"{'0': 511, '1': 513}",1024,372
"{'1': 518, '0': 506}",1024,373
"{'0': 501, '1': 523}",1024,374
"{'1': 534, '0': 490}",1024,375
"{'1': 495, '0': 529}",1024,376
"{'0': 529, '1': 495}",1024,377
"{'1': 530, '0': 494}",1024,378
"{'0': 497, '1': 527}",1024,379
"{'0': 491, '1': 533}",1024,380
"{'0': 518, '1': 506}",1024,381
"{'0': 486, '1': 538}",1024,382
"{'1': 500, '0': 524}",1024,383
"{'1': 531, '0': 493}",1024,384
"{'0': 507, '1': 517}",1024,385
"{'0': 520, '1': 504}",1024,386
"{'0': 515, '1': 509}",1024,387
"{'0': 512, '1': 512}",1024,388
"{'0': 531, '1': 493}",1024,389
"{'1': 522, '0': 502}",1024,390
"{'0': 488, '1': 536}",1024,391
"{'0': 533, '1': 491}",1024,392
"{'1': 542, '0': 482}",1024,393
"{'1': 491, '0': 533}",1024,394
"{'1': 504, '0': 520}",1024,395
"{'0': 504, '1': 520}",1024,396
"{'1': 511, '0': 513}",1024,397
"{'0': 495, '1': 529}",1024,398
"{'1': 510, '0': 514}",1024,399
"{'0': 504, '1': 520}",1024,400
"{'0': 512, '1': 512}",1024,401
"{'1': 524, '0': 500}",1024,402
"{'1': 512, '0': 512}",1024,403
"{'1': 518, '0': 506}",1024,404
"{'1': 517, '0': 507}",1024,405
"{'0': 525, '1': 499}",1024,406
"{'1': 523, '0': 501}",1024,407
"{'0': 509, '1': 515}",1024,408
"{'0': 517, '1': 507}",1024,409
"{'0': 520, '1': 504}",1024,410
"{'1': 529, '0': 495}",1024,411
"{'1': 492, '0': 532}",1024,412
"{'0': 503, '1': 521}",1024,413
"{'0': 500, '1': 524}",1024,414
"{'1': 498, '0': 526}",1024,415
"{'0': 506, '1': 518}",1024,416
"{'1': 524, '0': 500}",1024,417
"{'1': 518, '0': 506}",1024,418
"{'1': 533, '0': 491}",1024,419
"{'1': 519, '0': 505}",1024,420
"{'1': 502, '0': 522}",1024,421
"{'0': 513, '1': 511}",1024,422
"{'1': 532, '0': 492}",1024,423
"{'1': 491, '0': 533}",1024,424
"{'1': 485, '0': 539}",1024,425
"{'1': 508, '0': 516}",1024,426
"{'0': 510, '1': 514}",1024,427
"{'1': 494, '0': 530}",1024,428
"{'0': 508, '1': 516}",1024,429
"{'0': 541, '1': 483}",1024,430
"{'1': 497, '0': 527}",1024,431
"{'1': 487, '0': 537}",1024,432
"{'0': 508, '1': 516}",1024,433
"{'0': 516, '1': 508}",1024,434
"{'0': 502, '1': 522}",1024,435
"{'1': 505, '0': 519}",1024,436
"{'0': 511, '1': 513}",1024,437
"{'1': 523, '0': 501}",1024,438
"{'1': 506, '0': 518}",1024,439
"{'0': 520, '1': 504}",1024,440
"{'0': 504, '1': 520}",1024,441
"{'0': 507, '1': 517}",1024,442
"{'1': 523, '0': 501}",1024,443
"{'1': 533, '0': 491}",1024,444
"{'0': 502, '1': 522}",1024,445
"{'1': 523, '0': 501}",1024,446
"{'0': 499, '1': 525}",1024,447
"{'0': 496, '1': 528}",1024,448
"{'1': 528, '0': 496}",1024,449
"{'1': 488, '0': 536}",1024,450
"{'1': 504, '0': 520}",1024,451
"{'0': 534, '1': 490}",1024,452
"{'1': 520, '0': 504}",1024,453
"{'0': 515, '1': 509}",1024,454
"{'0': 525, '1': 499}",1024,455
"{'1': 503, '0': 521}",1024,456
"{'1': 505, '0': 519}",1024,457
"{'1': 516, '0': 508}",1024,458
"{'1': 526, '0': 498}",1024,459
"{'1': 522, '0': 502}",1024,460
"{'0': 515, '1': 509}",1024,461
"{'1': 520, '0': 504}",1024,462
"{'0': 516, '1': 508}",1024,463
"{'1': 519, '0': 505}",1024,464
"{'1': 528, '0': 496}",1024,465
"{'1': 529, '0': 495}",1024,466
"{'0': 535, '1': 489}",1024,467
"{'1': 545, '0': 479}",1024,468
"{'0': 518, '1': 506}",1024,469
"{'1': 504, '0': 520}",1024,470
"{'0': 541, '1': 483}",1024,471
"{'0': 507, '1': 517}",1024,472
"{'0': 493, '1': 531}",1024,473
"{'1': 487, '0': 537}",1024,474
"{'1': 521, '0': 503}",1024,475
"{'0': 507, '1': 517}",1024,476
"{'0': 526, '1': 498}",1024,477
